full_name,org_login,repo_name,category_l1,category_l2,months_count,or_12m_avg,or_recent3,or_prev9,or_momentum
elastic/kibana,elastic,elastic/kibana,DATA INFRASTRUCTURE,Monitoring Dashboard,12.0,653.262217203776,669.3770548502604,647.8906046549479,0.03316370084847226
vllm-project/vllm,vllm-project,vllm-project/vllm,ML/AI PLATFORM,LLMOps,12.0,595.7093098958334,656.0546061197916,575.5942111545139,0.13978666464329456
grafana/grafana,grafana,grafana/grafana,DATA INFRASTRUCTURE,Monitoring Dashboard,12.0,495.51953125,459.9048360188802,507.3910963270399,-0.09358906896851096
langgenius/dify,langgenius,langgenius/dify,ML/AI PLATFORM,LLMOps,12.0,417.35302734375,377.5123596191406,430.6332499186198,-0.12335529202521603
ClickHouse/ClickHouse,ClickHouse,ClickHouse/ClickHouse,STORAGE SYSTEMS,Real-time OLAP Engine,12.0,382.19447072347003,362.9267272949219,388.61705186631946,-0.06610704406309686
elastic/elasticsearch,elastic,elastic/elasticsearch,STORAGE SYSTEMS,Search Engine,12.0,346.38688405354816,336.311279296875,349.7454189724392,-0.03841119553483802
kubernetes/kubernetes,kubernetes,kubernetes/kubernetes,DATA INFRASTRUCTURE,Resource Scheduling,12.0,315.1672058105469,275.9816487630208,328.22905815972223,-0.15917971946066053
apache/doris,apache,apache/doris,STORAGE SYSTEMS,Real-time OLAP Engine,12.0,291.037846883138,276.66701253255206,295.828125,-0.06477109797267563
ceph/ceph,ceph,ceph/ceph,DATA LAKE PLATFORM,Distributed Object Store,12.0,283.39885965983075,291.4896952311198,280.70191446940106,0.03843144704627482
apache/airflow,apache,apache/airflow,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,280.19011306762695,315.14234415690106,268.53936937120227,0.1735424302768785
metabase/metabase,metabase,metabase/metabase,ANALYTICS & VISUALISATION,BI & Dashboard,12.0,238.12428029378256,242.27411397298178,236.74100240071616,0.023372003650217233
ray-project/ray,ray-project,ray-project/ray,DATA PROCESSING AND COMPUTATION,Python Workflow Scaling,12.0,233.1440684000651,267.6314697265625,221.6482679578993,0.20746023504861058
cockroachdb/cockroach,cockroachdb,cockroachdb/cockroach,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,210.53794479370117,201.65691121419272,213.49828932020398,-0.05546357370691437
airbytehq/airbyte,airbytehq,airbytehq/airbyte,DATA INTEGRATION,Data Integration Platform,12.0,209.7490259806315,164.4484100341797,224.84923129611545,-0.26862809765353757
StarRocks/StarRocks,StarRocks,StarRocks/starrocks,STORAGE SYSTEMS,Real-time OLAP Engine,12.0,209.618771870931,193.1608428955078,215.10474819607205,-0.10201497402819744
apache/spark,apache,apache/spark,DATA PROCESSING AND COMPUTATION,Unified Processing,12.0,191.82519149780273,168.08207194010416,199.73956468370227,-0.15849385069868036
supabase/supabase,supabase,supabase/supabase,STORAGE SYSTEMS,Relational DBMS,12.0,185.89450454711914,175.22650655110678,189.45050387912326,-0.07508028237862033
apache/kafka,apache,apache/kafka,DATA INTEGRATION,CDC Tool,12.0,172.99740346272787,155.68858846028647,178.76700846354166,-0.1290977580349334
dagster-io/dagster,dagster-io,dagster-io/dagster,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,165.61079088846842,145.55747731526694,172.29522874620227,-0.15518567534055808
yugabyte/yugabyte-db,yugabyte,yugabyte/yugabyte-db,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,155.76229985555014,143.04443868001303,160.0015869140625,-0.10598112531944588
pingcap/tidb,pingcap,pingcap/tidb,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,152.95892969767252,149.69744364420572,154.04609171549478,-0.028229525480727612
milvus-io/milvus,milvus-io,milvus-io/milvus,ML/AI PLATFORM,Vector Storage,12.0,151.71824582417807,133.08084869384766,157.9307115342882,-0.15734661484790066
scylladb/scylladb,scylladb,scylladb/scylladb,STORAGE SYSTEMS,Wide-column Key-value Store,12.0,145.63957722981772,142.0628458658854,146.83182101779514,-0.03247916642899741
pola-rs/polars,pola-rs,pola-rs/polars,DATA PROCESSING AND COMPUTATION,Python Processing Framework,12.0,144.86604499816895,114.84243520100911,154.87391493055554,-0.25847787051483967
trinodb/trino,trinodb,trinodb/trino,BI as Code (Web App),MPP Query Engine,12.0,138.99683316548666,99.49113210042317,152.16540018717447,-0.3461645552928467
apache/superset,apache,apache/superset,ANALYTICS & VISUALISATION,BI & Dashboard,12.0,132.83762741088867,117.80579376220703,137.84823862711588,-0.14539500152137838
apache/datafusion,apache,apache/datafusion,STORAGE SYSTEMS,In-process OLAP Engine,12.0,130.025120417277,105.84244537353516,138.0860120985243,-0.2335034970955883
apache/iceberg,apache,apache/iceberg,DATA LAKE PLATFORM,Open Table Format,12.0,125.62826728820801,128.32098642985025,124.73069424099393,0.028784351844618698
opensearch-project/OpenSearch,opensearch-project,opensearch-project/OpenSearch,STORAGE SYSTEMS,Search Engine,12.0,122.48157183329265,117.19898478190105,124.24243418375652,-0.0566911735763169
open-metadata/OpenMetadata,open-metadata,open-metadata/OpenMetadata,METADATA MANAGEMENT,Metadata Platform,12.0,115.88815244038899,114.82457733154297,116.242677476671,-0.012199479364303512
prestodb/presto,prestodb,prestodb/presto,BI as Code (Web App),MPP Query Engine,12.0,111.2097880045573,113.66745503743489,110.39056566026476,0.02968450571451014
grafana/mimir,grafana,grafana/mimir,DATA INFRASTRUCTURE,Metrics Store,12.0,106.99274826049805,100.41621907552083,109.18492465549045,-0.08031058873408929
taosdata/TDengine,taosdata,taosdata/TDengine,STORAGE SYSTEMS,Time-Series Database,12.0,106.67260678609212,101.86057790120442,108.27661641438802,-0.05925599382075831
apache/beam,apache,apache/beam,DATA PROCESSING AND COMPUTATION,Unified Processing,12.0,104.90888659159343,105.62906392415364,104.66882748074002,0.009174044140222288
datahub-project/datahub,datahub-project,datahub-project/datahub,METADATA MANAGEMENT,Metadata Platform,12.0,101.20995267232259,102.57166544596355,100.75604841444228,0.018019930913259413
apache/pinot,apache,apache/pinot,STORAGE SYSTEMS,Real-time OLAP Engine,12.0,99.8977902730306,95.25450388590495,101.44555240207248,-0.06102828926032884
duckdb/duckdb,duckdb,duckdb/duckdb,STORAGE SYSTEMS,In-process OLAP Engine,12.0,98.73113187154134,82.84859212239583,104.02531178792317,-0.20357275841384073
streamlit/streamlit,streamlit,streamlit/streamlit,BI as Code (Web App),,12.0,96.83020846048991,85.29934438069661,100.673829820421,-0.15271580973078056
apache/incubator-gluten,apache,apache/incubator-gluten,BI as Code (Web App),Semantic & Middleware Layer,12.0,94.24205907185872,79.5200424194336,99.14939795600043,-0.19797755650798568
mlflow/mlflow,mlflow,mlflow/mlflow,ML/AI PLATFORM,MLOps,12.0,94.23580805460612,98.93298085530598,92.67008378770616,0.06758272801335995
apache/flink,apache,apache/flink,DATA PROCESSING AND COMPUTATION,Stream Processing,12.0,94.09085845947266,76.35607147216797,100.00245412190755,-0.2364580235292382
redpanda-data/redpanda,redpanda-data,redpanda-data/redpanda,DATA INTEGRATION,Event Hub,12.0,94.08703422546387,89.07300567626953,95.75837707519531,-0.06981500316861072
apache/arrow,apache,apache/arrow,DATA LAKE PLATFORM,Serialisation Framework,12.0,94.0561097462972,82.97469838460286,97.74991353352864,-0.15115322985792534
neondatabase/neon,neondatabase,neondatabase/neon,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,87.68009980519612,82.28023147583008,89.4800559149848,-0.08046289606697714
apache/ozone,apache,apache/ozone,DATA LAKE PLATFORM,Distributed Object Store,12.0,85.14806302388509,85.37071228027344,85.07384660508897,0.003489505729798579
apache/hudi,apache,apache/hudi,DATA LAKE PLATFORM,Open Table Format,12.0,83.11002604166667,69.67064412434895,87.5898200141059,-0.20458057667970034
risingwavelabs/risingwave,risingwavelabs,risingwavelabs/risingwave,STORAGE SYSTEMS,Streaming Database,12.0,82.7104721069336,75.92757670084636,84.971437242296,-0.1064341246301517
PrefectHQ/prefect,PrefectHQ,PrefectHQ/prefect,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,80.73025321960449,43.47852579752604,93.14749569363065,-0.5332292567421212
apache/gravitino,apache,apache/gravitino,METADATA MANAGEMENT,Schema & Catalog Service,12.0,78.99702326456706,78.00458272298177,79.32783677842882,-0.016680828687451073
apache/seatunnel,apache,apache/seatunnel,DATA INTEGRATION,Data Integration Platform,12.0,77.95382340749104,61.0326042175293,83.59422980414496,-0.26989453266661906
kestra-io/kestra,kestra-io,kestra-io/kestra,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,77.65612188975017,70.7229995727539,79.96716266208225,-0.11559948835988415
apache/iotdb,apache,apache/iotdb,STORAGE SYSTEMS,Time-Series Database,12.0,77.26213200887044,68.36239878336589,80.22870975070529,-0.14790604266492127
rapidsai/cudf,rapidsai,rapidsai/cudf,DATA PROCESSING AND COMPUTATION,Python Processing Framework,12.0,74.59288660685222,70.66176859537761,75.90325927734375,-0.06905488291107766
weaviate/weaviate,weaviate,weaviate/weaviate,ML/AI PLATFORM,Vector Storage,12.0,72.38916905721028,68.43478647867839,73.70729658338759,-0.07153308219280878
chroma-core/chroma,chroma-core,chroma-core/chroma,ML/AI PLATFORM,Vector Storage,12.0,67.0914306640625,69.74203745524089,66.20789506700304,0.05337947060031537
MaterializeInc/materialize,MaterializeInc,MaterializeInc/materialize,STORAGE SYSTEMS,Streaming Database,12.0,66.89637629191081,58.26041158040365,69.77503119574652,-0.16502492966344676
valkey-io/valkey,valkey-io,valkey-io/valkey,STORAGE SYSTEMS,Distributed Key-value Store,12.0,66.44449869791667,61.13177490234375,68.21540662977431,-0.10384210953803404
delta-io/delta,delta-io,delta-io/delta,DATA LAKE PLATFORM,Open Table Format,12.0,66.39895248413086,67.64458847045898,65.98374048868816,0.02517056428553871
prometheus/prometheus,prometheus,prometheus/prometheus,DATA INFRASTRUCTURE,Observability Framework,12.0,66.26793003082275,55.229777018229164,69.94731436835394,-0.21040889822616823
apache/shardingsphere,apache,apache/shardingsphere,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,65.6942663192749,48.504740397135414,71.4241082933214,-0.32089120107823715
MariaDB/server,MariaDB,MariaDB/server,STORAGE SYSTEMS,Relational DBMS,12.0,65.45846939086914,62.05250676472982,66.59379026624892,-0.06819379830105136
apache/druid,apache,apache/druid,STORAGE SYSTEMS,Real-time OLAP Engine,12.0,63.7497288386027,53.1394411722819,67.28649139404297,-0.2102509720548981
ravendb/ravendb,ravendb,ravendb/ravendb,STORAGE SYSTEMS,Document Store,12.0,63.56030527750651,58.81372960408529,65.14249716864691,-0.09715267052439094
vectordotdev/vector,vectordotdev,vectordotdev/vector,DATA INFRASTRUCTURE,Log & Metrics Pipeline,12.0,61.366406758626304,57.29120635986328,62.72480689154731,-0.08662602247750006
temporalio/temporal,temporalio,temporalio/temporal,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,60.12625694274902,52.745357513427734,62.58655675252279,-0.157241422914648
apache/hadoop,apache,apache/hadoop,DATA LAKE PLATFORM,Distributed File System,12.0,60.02834510803223,51.469427744547524,62.88131756252713,-0.18148299463719086
apache/hbase,apache,apache/hbase,STORAGE SYSTEMS,Wide-column Key-value Store,12.0,59.98068332672119,59.10645039876302,60.272094302707245,-0.01933969471991393
apache/nifi,apache,apache/nifi,DATA INTEGRATION,Data Integration Platform,12.0,57.7000789642334,47.039039611816406,61.2537587483724,-0.23206280605488064
qdrant/qdrant,qdrant,qdrant/qdrant,ML/AI PLATFORM,Vector Storage,12.0,57.30901654561361,52.86382548014323,58.7907469007704,-0.10081384797901771
lightdash/lightdash,lightdash,lightdash/lightdash,ANALYTICS & VISUALISATION,BI & Dashboard,12.0,56.73714733123779,55.97567367553711,56.99097188313802,-0.0178150709498834
apache/hive,apache,apache/hive,METADATA MANAGEMENT,Schema & Catalog Service,12.0,55.64209397633871,59.761783599853516,54.26886410183377,0.10121677667165575
TobikoData/sqlmesh,TobikoData,TobikoData/sqlmesh,WORKFLOW MANAGEMENT & DATAOPS,Data Modeling,12.0,55.458141009012856,55.66192754109701,55.39021216498481,0.00490547635569383
fluent/fluent-bit,fluent,fluent/fluent-bit,DATA INFRASTRUCTURE,Log & Metrics Pipeline,12.0,54.6105120976766,43.81487528483073,58.20905770195855,-0.24728423694519805
skypilot-org/skypilot,skypilot-org,skypilot-org/skypilot,ML/AI PLATFORM,MLOps,12.0,53.398252169291176,63.37421671549479,50.072930653889976,0.26563825779531214
vespa-engine/vespa,vespa-engine,vespa-engine/vespa,ML/AI PLATFORM,Vector Storage,12.0,52.71938864390055,46.349908192952476,54.84254879421658,-0.15485495820281237
apache/pulsar,apache,apache/pulsar,DATA INTEGRATION,Event Hub,12.0,52.701647440592446,46.58017222086588,54.742139180501304,-0.14909842914108565
surrealdb/surrealdb,surrealdb,surrealdb/surrealdb,STORAGE SYSTEMS,NoSQL Multi-model,12.0,52.12664604187012,42.16926701863607,55.445772382948135,-0.23945027355043463
dlt-hub/dlt,dlt-hub,dlt-hub/dlt,DATA INTEGRATION,Data Integration Platform,12.0,51.2960262298584,49.073412577311196,52.03689744737413,-0.056949684078685926
pydantic/pydantic,pydantic,pydantic/pydantic,WORKFLOW MANAGEMENT & DATAOPS,Data Quality,12.0,50.4056453704834,26.709509531656902,58.304357316758896,-0.5418951385305885
apache/polaris,apache,apache/polaris,METADATA MANAGEMENT,Schema & Catalog Service,12.0,49.4187224706014,64.24107869466145,44.47793706258138,0.44433584238119944
influxdata/telegraf,influxdata,influxdata/telegraf,DATA INFRASTRUCTURE,Log & Metrics Pipeline,12.0,47.94924545288086,40.92545827229818,50.29050784640842,-0.18621902969665594
cube-js/cube,cube-js,cube-js/cube,BI as Code (Web App),Semantic & Middleware Layer,12.0,47.68655014038086,38.736768086751304,50.66981082492404,-0.23550596585813532
argoproj/argo-workflows,argoproj,argoproj/argo-workflows,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,47.31292883555094,33.3146603902181,51.97901831732856,-0.3590748446453097
Eventual-Inc/Daft,Eventual-Inc,Eventual-Inc/Daft,DATA PROCESSING AND COMPUTATION,Python Processing Framework,12.0,45.65850830078125,50.845940907796226,43.929364098442925,0.15744768792586414
timescale/timescaledb,timescale,timescale/timescaledb,STORAGE SYSTEMS,Time-Series Database,12.0,44.78119150797526,49.56600697835287,43.186253017849396,0.14772649893628517
apple/foundationdb,apple,apple/foundationdb,STORAGE SYSTEMS,Distributed Key-value Store,12.0,44.498420079549156,39.754337310791016,46.079781002468536,-0.1372715658379249
etcd-io/etcd,etcd-io,etcd-io/etcd,STORAGE SYSTEMS,Distributed Key-value Store,12.0,44.3960968653361,50.85524876912435,42.24304623074002,0.2038726679733925
treeverse/lakeFS,treeverse,treeverse/lakeFS,WORKFLOW MANAGEMENT & DATAOPS,Data Versioning,12.0,43.68754768371582,44.33050028483073,43.47323015001085,0.019719494775560488
dragonflydb/dragonfly,dragonflydb,dragonflydb/dragonfly,STORAGE SYSTEMS,Cache Store,12.0,43.500381787618004,40.10828145345052,44.631081899007164,-0.10133745930226379
GreptimeTeam/greptimedb,GreptimeTeam,GreptimeTeam/greptimedb,STORAGE SYSTEMS,Time-Series Database,12.0,43.210687001546226,40.50346883138021,44.11309305826823,-0.08182659561233045
apache/cassandra,apache,apache/cassandra,STORAGE SYSTEMS,Wide-column Key-value Store,12.0,43.077879905700684,36.5119743347168,45.26651509602865,-0.19339992802052283
apache/solr,apache,apache/solr,STORAGE SYSTEMS,Search Engine,12.0,42.15305264790853,34.60656483968099,44.668548583984375,-0.2252588020715552
uber/cadence,uber,uber/cadence,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,2.0,41.3444881439209,,41.3444881439209,
questdb/questdb,questdb,questdb/questdb,STORAGE SYSTEMS,Time-Series Database,12.0,41.13248380025228,43.49257151285807,40.345787896050346,0.07799534427026963
apache/camel,apache,apache/camel,DATA INTEGRATION,Data Integration Platform,12.0,40.999669551849365,33.38499132792155,43.537895626491974,-0.23319694607363106
crate/crate,crate,crate/crate,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,40.83616399765015,33.03161303202311,43.43768098619249,-0.23956315617947355
flyteorg/flyte,flyteorg,flyteorg/flyte,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,40.622592290242515,27.464305877685547,45.00868776109483,-0.3897998976671903
windmill-labs/windmill,windmill-labs,windmill-labs/windmill,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,39.52951176961263,37.7665761311849,40.117156982421875,-0.05859290707631476
juicedata/juicefs,juicedata,juicedata/juicefs,DATA LAKE PLATFORM,Distributed File System,12.0,39.39396444956461,34.25471115112305,41.10704888237847,-0.1666949566450839
influxdata/influxdb,influxdata,influxdata/influxdb,STORAGE SYSTEMS,Time-Series Database,12.0,38.33753522237142,37.081747690836586,38.75613106621636,-0.043203057924410114
great-expectations/great_expectations,great-expectations,great-expectations/great_expectations,WORKFLOW MANAGEMENT & DATAOPS,Data Quality,12.0,38.19370444615682,24.993247350056965,42.59385681152344,-0.4132194353600955
dbt-labs/dbt-core,dbt-labs,dbt-labs/dbt-core,WORKFLOW MANAGEMENT & DATAOPS,Data Modeling,12.0,37.51069418589274,25.934429168701172,41.36944919162326,-0.37310189824928747
feldera/feldera,feldera,feldera/feldera,DATA PROCESSING AND COMPUTATION,Unified Processing,12.0,37.4977757136027,36.88238525390625,37.702905866834854,-0.021762795043614138
lancedb/lance,lancedb,lancedb/lance,DATA LAKE PLATFORM,Serialisation Framework,12.0,36.886164824167885,47.340264638264976,33.40146488613553,0.41731103110735857
apache/iceberg-python,apache,apache/iceberg-python,DATA LAKE PLATFORM,Native Open Table Format Library,12.0,36.17950280507406,34.0312868754069,36.895574781629776,-0.07763228851089751
facebook/rocksdb,facebook,facebook/rocksdb,STORAGE SYSTEMS,Embedded Key-value Store,12.0,36.001705487569176,33.292092641194664,36.90490976969401,-0.09789529770009513
tobymao/sqlglot,,tobymao/sqlglot,DATA PROCESSING AND COMPUTATION,SQL Toolkit,12.0,35.970546086629234,32.90160306294759,36.99352709452311,-0.11061189221347119
apache/rocketmq,apache,apache/rocketmq,DATA INTEGRATION,Event Hub,12.0,35.38509861628214,22.521020253499348,39.67312473720975,-0.4323356074754379
apache/dolphinscheduler,apache,apache/dolphinscheduler,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,34.94065284729004,24.820650736490887,38.31398688422309,-0.3521778140318903
mckinsey/vizro,mckinsey,mckinsey/vizro,BI as Code (Web App),,12.0,33.037280559539795,31.88304901123047,33.422024408976235,-0.046046743875049034
redis/redis,redis,redis/redis,STORAGE SYSTEMS,Cache Store,12.0,32.84101915359497,35.26500447591146,32.03302404615614,0.10089526437149304
edgedb/edgedb,edgedb,edgedb/edgedb,STORAGE SYSTEMS,NoSQL Multi-model,5.0,32.77386589050293,,32.77386589050293,
rudderlabs/rudder-server,rudderlabs,rudderlabs/rudder-server,DATA INTEGRATION,CDC Tool,12.0,32.75260512034098,31.370792388916016,33.21320936414931,-0.05547241626164607
apache/ignite,apache,apache/ignite,STORAGE SYSTEMS,In-memory SQL Database,12.0,32.29218943913778,29.720694224039715,33.14935451083713,-0.1034306802467759
deepset-ai/haystack,deepset-ai,deepset-ai/haystack,ML/AI PLATFORM,LLMOps,12.0,31.772974491119385,23.82835515340169,34.421180937025284,-0.30774149797485234
tikv/tikv,tikv,tikv/tikv,STORAGE SYSTEMS,Distributed Key-value Store,12.0,31.3697829246521,24.971677780151367,33.50248463948568,-0.25463206538657707
arangodb/arangodb,arangodb,arangodb/arangodb,STORAGE SYSTEMS,NoSQL Multi-model,12.0,30.846224625905354,28.67608070373535,31.569605933295357,-0.09165541171701182
kedro-org/kedro,kedro-org,kedro-org/kedro,ML/AI PLATFORM,MLOps,12.0,30.68421681722005,27.09896723429362,31.879300011528862,-0.14995099564628073
minio/minio,minio,minio/minio,DATA LAKE PLATFORM,Distributed Object Store,12.0,30.48969316482544,20.515724182128906,33.81434949239095,-0.3932834879243961
debezium/debezium,debezium,debezium/debezium,DATA INTEGRATION,CDC Tool,12.0,29.87005027135213,29.96351496378581,29.83889537387424,0.004176414319300829
paradedb/paradedb,paradedb,paradedb/paradedb,STORAGE SYSTEMS,Search Engine,12.0,29.717753887176514,31.046539942423504,29.274825202094185,0.060520079218187056
apache/opendal,apache,apache/opendal,BI as Code (Web App),Semantic & Middleware Layer,12.0,28.793816884358723,19.993048985799152,31.727406183878582,-0.3698492442171943
OpenLineage/OpenLineage,OpenLineage,OpenLineage/OpenLineage,METADATA MANAGEMENT,Open Standards,12.0,28.27759011586507,27.004462560017902,28.70196596781413,-0.05914240891023898
ibis-project/ibis,ibis-project,ibis-project/ibis,DATA PROCESSING AND COMPUTATION,Python Processing Framework,12.0,28.17821168899536,20.286269505818684,30.80885908338759,-0.3415442794907903
apache/Inlong,apache,apache/inlong,DATA INTEGRATION,Data Integration Platform,12.0,27.829639593760174,16.161635716756184,31.71897421942817,-0.4904741999236208
cloudera/hue,cloudera,cloudera/hue,BI as Code (Web App),Query & Collaboration,12.0,27.50049130121867,26.4882869720459,27.83789274427626,-0.048480888428879154
alibaba/fluss,alibaba,alibaba/fluss,STORAGE SYSTEMS,Streaming Database,8.0,27.328831613063812,42.588069915771484,25.148940426962717,0.6934339655165711
apache/amoro,apache,apache/amoro,DATA LAKE PLATFORM,Universal Lakehouse,12.0,26.69572941462199,22.737253824869793,28.015221277872723,-0.18839642209685595
lancedb/lancedb,lancedb,lancedb/lancedb,ML/AI PLATFORM,Vector Storage,12.0,26.65465211868286,17.990182876586914,29.542808532714844,-0.3910469664160362
apache/flink-cdc,apache,apache/flink-cdc,DATA INTEGRATION,CDC Tool,12.0,25.95905526479085,16.982199986775715,28.951340357462566,-0.4134226679284525
determined-ai/determined,determined-ai,determined-ai/determined,ML/AI PLATFORM,MLOps,12.0,25.884112070004146,1.7702736457188923,33.922058211432564,-0.9478134954345939
PeerDB-io/peerdb,PeerDB-io,PeerDB-io/peerdb,DATA INTEGRATION,CDC Tool,12.0,25.18454583485921,28.49863560994466,24.079849243164062,0.1835055660921561
unitycatalog/unitycatalog,unitycatalog,unitycatalog/unitycatalog,METADATA MANAGEMENT,Schema & Catalog Service,12.0,25.17590804894765,6.183436234792073,31.50673198699951,-0.803742379966811
Netflix/metaflow,Netflix,Netflix/metaflow,ML/AI PLATFORM,MLOps,12.0,25.14373795191447,22.234031677246094,26.113640043470596,-0.14856635688346145
meilisearch/meilisearch,meilisearch,meilisearch/meilisearch,STORAGE SYSTEMS,Search Engine,12.0,25.075375080108643,24.313259760538738,25.32941351996528,-0.04011753997484318
iterative/datachain,iterative,iterative/datachain,WORKFLOW MANAGEMENT & DATAOPS,Data Versioning,12.0,25.008485635121662,18.55763117472331,27.158770455254448,-0.3166984048376558
dolthub/dolt,dolthub,dolthub/dolt,WORKFLOW MANAGEMENT & DATAOPS,Data Versioning,12.0,24.428534030914307,28.031902313232422,23.2274112701416,0.20684573873571968
spiraldb/vortex,spiraldb,spiraldb/vortex,DATA LAKE PLATFORM,Serialisation Framework,8.0,23.685845017433167,,23.685845017433167,
apache/accumulo,apache,apache/accumulo,STORAGE SYSTEMS,Wide-column Key-value Store,12.0,23.593237082163494,22.56855837504069,23.934796651204426,-0.0570816746878434
AutoMQ/automq,AutoMQ,AutoMQ/automq,DATA INTEGRATION,Event Hub,12.0,23.222356637318928,21.357486089070637,23.84398015340169,-0.10428183752603569
EventStore/EventStore,EventStore,EventStore/EventStore,STORAGE SYSTEMS,Streaming Database,6.0,23.141293207804363,,23.141293207804363,
delta-io/delta-rs,delta-io,delta-io/delta-rs,DATA LAKE PLATFORM,Native Open Table Format Library,12.0,22.026032368342083,15.643277804056803,24.15361722310384,-0.3523422326535248
sqlalchemy/sqlalchemy,sqlalchemy,sqlalchemy/sqlalchemy,DATA PROCESSING AND COMPUTATION,SQL Toolkit,12.0,21.69426170984904,20.1541690826416,22.207625918918186,-0.09246629260479798
slatedb/slatedb,slatedb,slatedb/slatedb,STORAGE SYSTEMS,In-process OLAP Engine,12.0,21.35256290435791,23.225704193115234,20.728182474772137,0.12048918043744464
